,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,0.0,90.0
1,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,3.75,90.0
2,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,7.5,90.0
3,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,11.25,90.0
4,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,15.0,90.0
5,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,18.75,90.0
6,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,22.5,90.0
7,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,26.25,90.0
8,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,30.0,90.0
9,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,33.75,90.0
10,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,37.5,90.0
11,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,41.25,90.0
12,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,45.0,90.0
13,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,48.75,90.0
14,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,52.5,90.0
15,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,56.25,90.0
16,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,60.0,90.0
17,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,63.75,90.0
18,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,67.5,90.0
19,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,71.25,90.0
20,-186.0,-366.06,-356.34,-283.97,-340.87,-36.13,-31.7,-212.77,-508.33,-560.2,-646.17,-214.37,75.0,90.0
