,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,0.0,90.0
1,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,3.75,90.0
2,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,7.5,90.0
3,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,11.25,90.0
4,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,15.0,90.0
5,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,18.75,90.0
6,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,22.5,90.0
7,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,26.25,90.0
8,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,30.0,90.0
9,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,33.75,90.0
10,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,37.5,90.0
11,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,41.25,90.0
12,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,45.0,90.0
13,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,48.75,90.0
14,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,52.5,90.0
15,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,56.25,90.0
16,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,60.0,90.0
17,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,63.75,90.0
18,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,67.5,90.0
19,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,71.25,90.0
20,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,75.0,90.0
21,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,78.75,90.0
22,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,82.5,90.0
23,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,86.25,90.0
24,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,90.0,90.0
25,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,93.75,90.0
26,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,97.5,90.0
27,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,101.25,90.0
28,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,105.0,90.0
29,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,108.75,90.0
30,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,112.5,90.0
31,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,116.25,90.0
32,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,120.0,90.0
33,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,123.75,90.0
34,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,127.5,90.0
35,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,131.25,90.0
36,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,135.0,90.0
37,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,138.75,90.0
38,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,142.5,90.0
39,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,146.25,90.0
40,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,150.0,90.0
41,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,153.75,90.0
42,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,157.5,90.0
43,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,161.25,90.0
44,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,165.0,90.0
45,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,168.75,90.0
46,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,172.5,90.0
47,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,176.25,90.0
48,1.79,2.23,2.15,1.48,0.83,-0.03,-0.02,0.13,4.51,5.19,4.95,1.33,180.0,90.0
