,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,0.0,90.0
1,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,3.75,90.0
2,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,7.5,90.0
3,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,11.25,90.0
4,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,15.0,90.0
5,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,18.75,90.0
6,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,22.5,90.0
7,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,26.25,90.0
8,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,30.0,90.0
9,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,33.75,90.0
10,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,37.5,90.0
11,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,41.25,90.0
12,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,45.0,90.0
13,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,48.75,90.0
14,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,52.5,90.0
15,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,56.25,90.0
16,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,60.0,90.0
17,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,63.75,90.0
18,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,67.5,90.0
19,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,71.25,90.0
20,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,75.0,90.0
21,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,78.75,90.0
22,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,82.5,90.0
23,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,86.25,90.0
24,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,90.0,90.0
25,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,93.75,90.0
26,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,97.5,90.0
27,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,101.25,90.0
28,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,105.0,90.0
29,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,108.75,90.0
30,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,112.5,90.0
31,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,116.25,90.0
32,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,120.0,90.0
33,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,123.75,90.0
34,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,127.5,90.0
35,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,131.25,90.0
36,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,135.0,90.0
37,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,138.75,90.0
38,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,142.5,90.0
39,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,146.25,90.0
40,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,150.0,90.0
41,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,153.75,90.0
42,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,157.5,90.0
43,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,161.25,90.0
44,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,165.0,90.0
45,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,168.75,90.0
46,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,172.5,90.0
47,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,176.25,90.0
48,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,180.0,90.0
49,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,183.75,90.0
50,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,187.5,90.0
51,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,191.25,90.0
52,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,195.0,90.0
53,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,198.75,90.0
54,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,202.5,90.0
55,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,206.25,90.0
56,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,210.0,90.0
57,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,213.75,90.0
58,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,217.5,90.0
59,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,221.25,90.0
60,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,225.0,90.0
61,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,228.75,90.0
62,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,232.5,90.0
63,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,236.25,90.0
64,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,240.0,90.0
65,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,243.75,90.0
66,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,247.5,90.0
67,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,251.25,90.0
68,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,255.0,90.0
69,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,258.75,90.0
70,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,262.5,90.0
71,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,266.25,90.0
72,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,270.0,90.0
73,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,273.75,90.0
74,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,277.5,90.0
75,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,281.25,90.0
76,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,285.0,90.0
77,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,288.75,90.0
78,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,292.5,90.0
79,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,296.25,90.0
80,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,300.0,90.0
81,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,303.75,90.0
82,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,307.5,90.0
83,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,311.25,90.0
84,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,315.0,90.0
85,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,318.75,90.0
86,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,322.5,90.0
87,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,326.25,90.0
88,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,330.0,90.0
89,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,333.75,90.0
90,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,337.5,90.0
91,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,341.25,90.0
92,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,345.0,90.0
93,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,348.75,90.0
94,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,352.5,90.0
95,12.22,10.08,10.07,5.85,2.8,-0.01,-0.14,0.58,11.22,19.61,21.62,16.7,356.25,90.0
96,14.19,10.78,10.35,6.44,2.86,-0.07,-0.2,0.98,11.67,20.52,24.88,20.27,0.0,87.5
97,13.93,10.83,10.35,6.33,2.75,-0.05,-0.21,0.93,11.66,20.52,24.95,20.24,3.75,87.5
98,13.69,10.74,10.37,6.17,2.77,-0.04,-0.21,0.9,11.63,20.45,25.0,20.25,7.5,87.5
99,13.54,10.53,10.49,6.24,2.92,-0.02,-0.23,0.85,11.7,20.46,24.95,20.15,11.25,87.5
100,13.02,10.23,10.42,6.42,3.08,-0.02,-0.23,0.81,11.75,20.48,24.7,19.72,15.0,87.5
101,12.29,10.03,10.35,6.53,3.26,-0.01,-0.22,0.77,11.82,20.34,24.32,19.16,18.75,87.5
102,11.98,10.21,10.53,6.59,3.42,0.0,-0.21,0.74,11.94,20.21,24.17,18.65,22.5,87.5
