,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,3.41,3.46,3.13,2.98,2.56,2.26,1.97,1.98,2.52,2.99,3.12,3.4,0.0,88.75
1,3.4,3.46,3.13,2.98,2.57,2.26,1.96,1.98,2.52,3.0,3.12,3.39,3.75,88.75
2,3.39,3.45,3.13,2.97,2.57,2.26,1.96,1.97,2.52,3.0,3.12,3.38,7.5,88.75
3,3.39,3.44,3.12,2.97,2.56,2.26,1.96,1.97,2.52,3.0,3.11,3.37,11.25,88.75
4,3.39,3.44,3.11,2.96,2.56,2.26,1.96,1.97,2.51,3.0,3.12,3.37,15.0,88.75
5,3.38,3.44,3.1,2.96,2.55,2.26,1.96,1.97,2.51,3.0,3.11,3.37,18.75,88.75
6,3.36,3.43,3.09,2.96,2.55,2.26,1.96,1.97,2.5,3.0,3.11,3.37,22.5,88.75
7,3.34,3.43,3.09,2.97,2.55,2.25,1.96,1.97,2.5,3.0,3.11,3.36,26.25,88.75
8,3.34,3.42,3.09,2.96,2.55,2.25,1.96,1.96,2.51,2.99,3.1,3.35,30.0,88.75
9,3.33,3.41,3.09,2.96,2.55,2.25,1.96,1.96,2.5,2.99,3.1,3.34,33.75,88.75
10,3.33,3.41,3.09,2.96,2.55,2.25,1.96,1.96,2.51,2.99,3.11,3.33,37.5,88.75
11,3.32,3.4,3.08,2.96,2.55,2.26,1.96,1.95,2.51,2.97,3.1,3.32,41.25,88.75
12,3.31,3.4,3.08,2.95,2.54,2.26,1.96,1.95,2.52,2.97,3.1,3.32,45.0,88.75
13,3.29,3.39,3.07,2.96,2.54,2.26,1.95,1.95,2.51,2.97,3.09,3.31,48.75,88.75
14,3.29,3.38,3.06,2.96,2.53,2.26,1.95,1.95,2.5,2.97,3.09,3.29,52.5,88.75
15,3.28,3.38,3.07,2.95,2.53,2.26,1.95,1.94,2.5,2.97,3.08,3.29,56.25,88.75
16,3.27,3.37,3.06,2.96,2.52,2.26,1.96,1.94,2.5,2.96,3.07,3.28,60.0,88.75
17,3.27,3.37,3.06,2.96,2.52,2.26,1.96,1.94,2.49,2.96,3.08,3.26,63.75,88.75
18,3.26,3.36,3.06,2.95,2.52,2.26,1.96,1.94,2.49,2.95,3.08,3.26,67.5,88.75
19,3.25,3.36,3.06,2.95,2.51,2.25,1.95,1.94,2.49,2.95,3.07,3.26,71.25,88.75
20,3.24,3.35,3.06,2.93,2.5,2.25,1.95,1.94,2.49,2.94,3.06,3.25,75.0,88.75
21,3.25,3.35,3.05,2.93,2.51,2.25,1.95,1.94,2.48,2.94,3.05,3.24,78.75,88.75
22,3.24,3.34,3.04,2.93,2.5,2.24,1.94,1.94,2.48,2.94,3.04,3.24,82.5,88.75
23,3.24,3.33,3.03,2.93,2.49,2.26,1.94,1.94,2.47,2.93,3.04,3.23,86.25,88.75
24,3.23,3.32,3.03,2.93,2.5,2.26,1.94,1.94,2.48,2.92,3.03,3.21,90.0,88.75
25,3.22,3.31,3.02,2.93,2.5,2.26,1.94,1.93,2.48,2.91,3.02,3.21,93.75,88.75
26,3.22,3.31,3.02,2.93,2.49,2.26,1.93,1.94,2.47,2.89,3.01,3.19,97.5,88.75
27,3.22,3.3,3.03,2.94,2.49,2.25,1.93,1.94,2.47,2.89,3.01,3.19,101.25,88.75
28,3.22,3.29,3.02,2.92,2.49,2.25,1.94,1.95,2.47,2.87,3.01,3.19,105.0,88.75
29,3.2,3.29,3.02,2.92,2.48,2.25,1.94,1.95,2.47,2.87,3.01,3.19,108.75,88.75
30,3.19,3.29,3.02,2.92,2.49,2.26,1.94,1.95,2.46,2.86,3.0,3.19,112.5,88.75
31,3.19,3.28,3.02,2.91,2.49,2.26,1.95,1.95,2.45,2.85,3.0,3.17,116.25,88.75
32,3.19,3.29,3.02,2.92,2.48,2.26,1.94,1.94,2.45,2.84,2.99,3.17,120.0,88.75
33,3.19,3.29,3.02,2.92,2.47,2.26,1.94,1.94,2.44,2.84,2.99,3.17,123.75,88.75
34,3.2,3.29,3.02,2.92,2.47,2.26,1.95,1.94,2.44,2.83,2.98,3.17,127.5,88.75
35,3.19,3.29,3.02,2.92,2.48,2.26,1.95,1.94,2.44,2.82,2.97,3.15,131.25,88.75
36,3.21,3.28,3.04,2.92,2.48,2.26,1.95,1.94,2.44,2.81,2.97,3.15,135.0,88.75
37,3.21,3.29,3.04,2.92,2.48,2.26,1.96,1.93,2.44,2.81,2.95,3.16,138.75,88.75
38,3.22,3.28,3.03,2.92,2.48,2.26,1.95,1.94,2.44,2.8,2.95,3.16,142.5,88.75
39,3.22,3.28,3.04,2.92,2.48,2.27,1.95,1.96,2.44,2.79,2.95,3.17,146.25,88.75
40,3.22,3.28,3.04,2.91,2.48,2.27,1.96,1.96,2.43,2.79,2.95,3.18,150.0,88.75
41,3.22,3.28,3.04,2.92,2.47,2.27,1.96,1.96,2.43,2.79,2.95,3.17,153.75,88.75
42,3.22,3.29,3.04,2.92,2.48,2.28,1.96,1.96,2.43,2.8,2.95,3.17,157.5,88.75
43,3.24,3.29,3.05,2.92,2.48,2.28,1.96,1.96,2.43,2.79,2.96,3.17,161.25,88.75
44,3.24,3.29,3.06,2.93,2.48,2.28,1.97,1.96,2.43,2.8,2.97,3.17,165.0,88.75
45,3.25,3.29,3.06,2.93,2.48,2.27,1.97,1.96,2.43,2.8,2.97,3.17,168.75,88.75
46,3.26,3.29,3.07,2.94,2.47,2.28,1.98,1.96,2.42,2.79,2.96,3.19,172.5,88.75
47,3.26,3.29,3.07,2.94,2.47,2.28,1.98,1.96,2.43,2.79,2.96,3.19,176.25,88.75
48,3.27,3.29,3.07,2.93,2.48,2.27,1.98,1.97,2.42,2.79,2.96,3.19,180.0,88.75
49,3.28,3.31,3.07,2.93,2.48,2.26,1.98,1.97,2.43,2.79,2.96,3.2,183.75,88.75
50,3.29,3.31,3.07,2.93,2.48,2.26,1.99,1.98,2.44,2.79,2.96,3.21,187.5,88.75
51,3.31,3.31,3.07,2.94,2.49,2.27,1.99,1.98,2.43,2.8,2.97,3.22,191.25,88.75
52,3.33,3.31,3.08,2.94,2.49,2.27,1.99,1.99,2.43,2.79,2.98,3.22,195.0,88.75
53,3.33,3.33,3.09,2.94,2.49,2.28,1.99,1.99,2.42,2.8,2.99,3.24,198.75,88.75
54,3.34,3.34,3.09,2.96,2.5,2.28,1.99,1.99,2.42,2.81,2.99,3.24,202.5,88.75
55,3.34,3.35,3.09,2.97,2.5,2.28,1.99,2.0,2.43,2.8,2.99,3.24,206.25,88.75
56,3.34,3.34,3.1,2.96,2.51,2.28,1.98,2.0,2.44,2.8,2.99,3.26,210.0,88.75
57,3.35,3.35,3.11,2.96,2.5,2.29,1.98,2.0,2.44,2.81,2.99,3.27,213.75,88.75
58,3.36,3.36,3.11,2.97,2.5,2.29,1.99,2.0,2.45,2.8,2.99,3.27,217.5,88.75
59,3.36,3.36,3.11,2.96,2.49,2.29,1.98,2.0,2.46,2.81,3.0,3.28,221.25,88.75
60,3.36,3.36,3.12,2.97,2.49,2.28,1.98,2.01,2.45,2.82,3.0,3.29,225.0,88.75
61,3.36,3.37,3.13,2.97,2.51,2.28,1.98,2.01,2.45,2.83,3.0,3.29,228.75,88.75
62,3.39,3.37,3.13,2.98,2.51,2.28,1.99,2.01,2.45,2.83,3.0,3.3,232.5,88.75
63,3.4,3.38,3.13,2.97,2.51,2.27,1.99,2.01,2.46,2.83,3.02,3.31,236.25,88.75
64,3.41,3.39,3.14,2.96,2.52,2.27,1.99,2.01,2.46,2.84,3.02,3.31,240.0,88.75
65,3.42,3.39,3.14,2.97,2.52,2.27,1.99,2.01,2.46,2.83,3.02,3.32,243.75,88.75
66,3.43,3.41,3.14,2.97,2.52,2.27,1.99,2.01,2.46,2.83,3.03,3.33,247.5,88.75
67,3.44,3.42,3.16,2.98,2.52,2.28,1.99,2.01,2.47,2.85,3.04,3.34,251.25,88.75
68,3.44,3.42,3.16,2.99,2.52,2.28,1.99,2.0,2.47,2.85,3.05,3.35,255.0,88.75
69,3.45,3.42,3.16,2.98,2.52,2.27,1.99,2.0,2.48,2.86,3.04,3.36,258.75,88.75
70,3.46,3.42,3.16,2.98,2.53,2.28,1.98,2.0,2.48,2.86,3.05,3.37,262.5,88.75
71,3.46,3.42,3.16,2.98,2.53,2.28,1.98,2.0,2.48,2.87,3.05,3.37,266.25,88.75
72,3.47,3.44,3.16,2.99,2.53,2.27,1.98,2.0,2.48,2.87,3.07,3.37,270.0,88.75
73,3.47,3.44,3.16,2.99,2.53,2.27,1.98,2.0,2.48,2.87,3.07,3.38,273.75,88.75
74,3.48,3.44,3.16,2.99,2.54,2.28,1.97,2.0,2.47,2.89,3.07,3.39,277.5,88.75
75,3.47,3.44,3.16,2.99,2.54,2.28,1.97,2.0,2.48,2.89,3.07,3.39,281.25,88.75
76,3.47,3.43,3.16,2.99,2.54,2.28,1.97,2.0,2.47,2.89,3.07,3.39,285.0,88.75
77,3.47,3.43,3.16,2.99,2.54,2.28,1.97,2.0,2.47,2.9,3.07,3.41,288.75,88.75
78,3.47,3.43,3.16,2.99,2.54,2.29,1.98,2.0,2.48,2.91,3.08,3.4,292.5,88.75
79,3.47,3.43,3.16,3.0,2.53,2.29,1.98,2.0,2.48,2.92,3.09,3.41,296.25,88.75
80,3.47,3.45,3.16,3.01,2.54,2.29,1.99,2.0,2.48,2.92,3.09,3.41,300.0,88.75
81,3.48,3.46,3.16,3.01,2.55,2.29,1.98,2.0,2.49,2.92,3.1,3.41,303.75,88.75
82,3.49,3.45,3.16,3.0,2.56,2.29,1.98,2.0,2.49,2.94,3.1,3.41,307.5,88.75
83,3.48,3.45,3.16,3.0,2.56,2.29,1.98,1.99,2.49,2.94,3.1,3.41,311.25,88.75
84,3.47,3.46,3.16,2.99,2.56,2.29,1.98,1.99,2.49,2.94,3.11,3.42,315.0,88.75
85,3.47,3.46,3.16,2.99,2.56,2.28,1.97,1.99,2.5,2.95,3.11,3.41,318.75,88.75
86,3.47,3.46,3.16,2.99,2.57,2.27,1.97,1.99,2.5,2.95,3.11,3.41,322.5,88.75
87,3.46,3.47,3.16,2.99,2.57,2.26,1.97,1.99,2.52,2.97,3.12,3.41,326.25,88.75
88,3.46,3.47,3.16,2.99,2.56,2.27,1.97,1.99,2.52,2.98,3.12,3.41,330.0,88.75
89,3.45,3.46,3.15,2.99,2.56,2.27,1.97,1.99,2.52,2.98,3.12,3.39,333.75,88.75
90,3.44,3.46,3.15,2.99,2.57,2.27,1.97,1.99,2.52,2.99,3.12,3.4,337.5,88.75
91,3.44,3.46,3.14,2.98,2.57,2.27,1.97,1.99,2.52,2.99,3.13,3.4,341.25,88.75
92,3.43,3.47,3.14,2.98,2.56,2.27,1.97,1.99,2.52,2.99,3.12,3.4,345.0,88.75
93,3.43,3.46,3.14,2.97,2.56,2.27,1.97,2.0,2.52,2.99,3.12,3.41,348.75,88.75
94,3.43,3.46,3.14,2.97,2.56,2.27,1.96,1.99,2.52,2.98,3.12,3.41,352.5,88.75
95,3.41,3.45,3.14,2.97,2.56,2.27,1.96,1.99,2.52,2.99,3.12,3.41,356.25,88.75
96,4.27,4.16,3.88,3.7,3.11,2.65,2.27,2.48,3.12,4.0,3.99,4.39,0.0,86.25
97,4.26,4.16,3.87,3.67,3.12,2.66,2.26,2.49,3.12,3.99,4.01,4.37,3.75,86.25
