,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,0.0,90.0
1,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,3.75,90.0
2,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,7.5,90.0
3,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,11.25,90.0
4,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,15.0,90.0
5,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,18.75,90.0
6,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,22.5,90.0
7,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,26.25,90.0
8,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,30.0,90.0
9,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,33.75,90.0
10,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,37.5,90.0
11,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,41.25,90.0
12,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,45.0,90.0
13,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,48.75,90.0
14,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,52.5,90.0
15,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,56.25,90.0
16,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,60.0,90.0
17,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,63.75,90.0
18,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,67.5,90.0
19,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,71.25,90.0
20,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,75.0,90.0
21,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,78.75,90.0
22,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,82.5,90.0
23,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,86.25,90.0
24,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,90.0,90.0
25,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,93.75,90.0
26,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,97.5,90.0
27,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,101.25,90.0
28,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,105.0,90.0
29,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,108.75,90.0
30,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,112.5,90.0
31,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,116.25,90.0
32,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,120.0,90.0
33,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,123.75,90.0
34,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,127.5,90.0
35,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,131.25,90.0
36,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,135.0,90.0
37,10.73,11.52,9.31,6.56,2.94,-0.02,-0.2,0.47,10.52,18.08,19.14,17.37,138.75,90.0
