,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,0.0,90.0
1,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,3.75,90.0
2,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,7.5,90.0
3,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,11.25,90.0
4,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,15.0,90.0
5,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,18.75,90.0
6,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,22.5,90.0
7,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,26.25,90.0
8,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,30.0,90.0
9,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,33.75,90.0
10,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,37.5,90.0
11,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,41.25,90.0
12,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,45.0,90.0
13,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,48.75,90.0
14,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,52.5,90.0
15,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,56.25,90.0
16,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,60.0,90.0
17,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,63.75,90.0
18,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,67.5,90.0
19,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,71.25,90.0
20,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,75.0,90.0
21,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,78.75,90.0
22,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,82.5,90.0
23,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,86.25,90.0
24,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,90.0,90.0
25,2.78,2.47,1.84,1.63,1.48,-0.05,-0.06,0.14,5.78,5.98,5.34,4.36,93.75,90.0
