,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,3.51,3.06,3.1,3.05,2.65,2.17,2.07,2.02,2.52,2.85,3.16,3.26,0.0,88.75
1,3.51,3.06,3.1,3.05,2.65,2.17,2.07,2.01,2.52,2.86,3.16,3.26,3.75,88.75
2,3.5,3.07,3.09,3.05,2.66,2.17,2.07,2.01,2.52,2.86,3.17,3.25,7.5,88.75
3,3.5,3.07,3.08,3.04,2.66,2.17,2.07,2.02,2.51,2.86,3.16,3.25,11.25,88.75
4,3.5,3.07,3.08,3.04,2.66,2.17,2.08,2.02,2.51,2.87,3.16,3.23,15.0,88.75
5,3.5,3.08,3.08,3.04,2.67,2.17,2.08,2.01,2.51,2.87,3.16,3.23,18.75,88.75
6,3.48,3.07,3.07,3.03,2.67,2.17,2.08,2.01,2.51,2.87,3.16,3.22,22.5,88.75
7,3.48,3.06,3.08,3.03,2.67,2.17,2.08,2.01,2.51,2.86,3.15,3.21,26.25,88.75
8,3.48,3.05,3.08,3.03,2.66,2.17,2.08,2.02,2.51,2.87,3.15,3.21,30.0,88.75
9,3.48,3.04,3.08,3.02,2.65,2.17,2.07,2.02,2.51,2.86,3.15,3.21,33.75,88.75
10,3.48,3.04,3.08,3.02,2.65,2.17,2.07,2.02,2.51,2.86,3.14,3.2,37.5,88.75
11,3.47,3.04,3.07,3.01,2.65,2.16,2.06,2.02,2.51,2.85,3.14,3.18,41.25,88.75
12,3.45,3.04,3.07,3.01,2.65,2.17,2.06,2.02,2.51,2.85,3.13,3.18,45.0,88.75
13,3.45,3.04,3.07,3.01,2.66,2.17,2.05,2.02,2.5,2.85,3.13,3.17,48.75,88.75
14,3.45,3.04,3.07,3.0,2.65,2.17,2.05,2.02,2.5,2.85,3.13,3.17,52.5,88.75
15,3.45,3.05,3.07,3.0,2.65,2.17,2.05,2.02,2.5,2.84,3.13,3.17,56.25,88.75
16,3.44,3.04,3.07,3.0,2.65,2.18,2.04,2.02,2.5,2.83,3.12,3.15,60.0,88.75
17,3.43,3.03,3.07,3.0,2.66,2.18,2.04,2.02,2.5,2.83,3.12,3.15,63.75,88.75
18,3.43,3.02,3.06,3.0,2.66,2.18,2.04,2.02,2.5,2.83,3.11,3.14,67.5,88.75
19,3.43,3.02,3.06,2.99,2.65,2.18,2.04,2.03,2.49,2.82,3.11,3.14,71.25,88.75
20,3.43,3.02,3.06,2.99,2.65,2.18,2.05,2.02,2.49,2.82,3.1,3.13,75.0,88.75
21,3.42,3.01,3.07,2.99,2.66,2.19,2.06,2.03,2.48,2.82,3.09,3.12,78.75,88.75
22,3.43,3.0,3.07,2.99,2.66,2.19,2.06,2.03,2.47,2.81,3.09,3.11,82.5,88.75
23,3.41,3.0,3.08,2.99,2.65,2.2,2.06,2.03,2.46,2.81,3.1,3.09,86.25,88.75
24,3.4,3.0,3.08,2.99,2.65,2.19,2.06,2.04,2.46,2.8,3.09,3.09,90.0,88.75
25,3.4,2.99,3.07,2.98,2.65,2.19,2.06,2.04,2.46,2.81,3.07,3.08,93.75,88.75
26,3.4,2.98,3.07,2.98,2.65,2.19,2.06,2.05,2.45,2.81,3.07,3.08,97.5,88.75
27,3.39,2.97,3.07,2.98,2.65,2.2,2.06,2.05,2.45,2.8,3.06,3.06,101.25,88.75
28,3.38,2.98,3.08,2.98,2.65,2.2,2.06,2.05,2.44,2.8,3.05,3.05,105.0,88.75
29,3.38,2.97,3.08,2.98,2.65,2.2,2.06,2.05,2.43,2.8,3.04,3.06,108.75,88.75
30,3.38,2.96,3.09,2.98,2.65,2.2,2.07,2.05,2.43,2.81,3.04,3.05,112.5,88.75
31,3.39,2.96,3.09,2.98,2.64,2.2,2.08,2.05,2.42,2.81,3.04,3.05,116.25,88.75
32,3.39,2.95,3.09,2.99,2.63,2.2,2.08,2.05,2.41,2.8,3.03,3.05,120.0,88.75
33,3.39,2.94,3.09,2.99,2.63,2.21,2.08,2.05,2.41,2.8,3.03,3.05,123.75,88.75
34,3.38,2.93,3.09,2.99,2.63,2.21,2.08,2.05,2.41,2.79,3.02,3.05,127.5,88.75
35,3.37,2.93,3.08,2.98,2.63,2.2,2.09,2.06,2.4,2.79,3.02,3.04,131.25,88.75
36,3.37,2.93,3.08,2.99,2.62,2.2,2.09,2.06,2.4,2.79,3.01,3.03,135.0,88.75
37,3.37,2.93,3.1,3.0,2.63,2.21,2.09,2.06,2.4,2.79,3.02,3.03,138.75,88.75
38,3.38,2.93,3.1,3.0,2.63,2.21,2.09,2.06,2.4,2.79,3.01,3.03,142.5,88.75
39,3.38,2.93,3.1,3.0,2.62,2.22,2.08,2.07,2.4,2.79,3.01,3.03,146.25,88.75
40,3.39,2.93,3.1,3.0,2.62,2.22,2.09,2.07,2.4,2.77,3.01,3.04,150.0,88.75
41,3.38,2.93,3.11,2.99,2.61,2.22,2.09,2.07,2.4,2.78,3.01,3.04,153.75,88.75
42,3.38,2.93,3.11,3.0,2.61,2.22,2.09,2.07,2.4,2.77,3.01,3.03,157.5,88.75
43,3.39,2.93,3.12,3.01,2.62,2.22,2.1,2.07,2.4,2.77,3.01,3.03,161.25,88.75
44,3.4,2.92,3.12,3.01,2.61,2.23,2.1,2.08,2.4,2.77,3.02,3.04,165.0,88.75
45,3.4,2.92,3.12,3.01,2.61,2.23,2.1,2.08,2.4,2.77,3.02,3.04,168.75,88.75
46,3.4,2.92,3.12,3.01,2.61,2.22,2.1,2.08,2.4,2.77,3.02,3.04,172.5,88.75
47,3.41,2.92,3.12,3.0,2.61,2.22,2.1,2.08,2.4,2.77,3.02,3.05,176.25,88.75
48,3.42,2.92,3.13,3.02,2.61,2.22,2.1,2.08,2.4,2.78,3.02,3.05,180.0,88.75
49,3.43,2.92,3.13,3.02,2.61,2.22,2.1,2.08,2.4,2.78,3.02,3.06,183.75,88.75
50,3.43,2.92,3.13,3.03,2.62,2.22,2.1,2.08,2.4,2.78,3.03,3.07,187.5,88.75
51,3.43,2.92,3.13,3.03,2.61,2.22,2.1,2.08,2.4,2.79,3.03,3.08,191.25,88.75
52,3.43,2.92,3.14,3.03,2.6,2.21,2.1,2.08,2.4,2.79,3.03,3.09,195.0,88.75
