,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,0.0,90.0
1,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,3.75,90.0
2,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,7.5,90.0
3,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,11.25,90.0
4,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,15.0,90.0
5,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,18.75,90.0
6,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,22.5,90.0
7,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,26.25,90.0
8,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,30.0,90.0
9,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,33.75,90.0
10,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,37.5,90.0
11,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,41.25,90.0
12,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,45.0,90.0
13,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,48.75,90.0
14,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,52.5,90.0
15,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,56.25,90.0
16,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,60.0,90.0
17,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,63.75,90.0
18,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,67.5,90.0
19,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,71.25,90.0
20,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,75.0,90.0
21,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,78.75,90.0
22,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,82.5,90.0
23,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,86.25,90.0
24,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,90.0,90.0
25,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,93.75,90.0
26,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,97.5,90.0
27,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,101.25,90.0
28,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,105.0,90.0
29,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,108.75,90.0
30,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,112.5,90.0
31,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,116.25,90.0
32,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,120.0,90.0
33,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,123.75,90.0
34,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,127.5,90.0
35,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,131.25,90.0
36,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,135.0,90.0
37,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,138.75,90.0
38,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,142.5,90.0
39,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,146.25,90.0
40,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,150.0,90.0
41,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,153.75,90.0
42,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,157.5,90.0
43,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,161.25,90.0
44,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,165.0,90.0
45,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,168.75,90.0
46,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,172.5,90.0
47,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,176.25,90.0
48,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,180.0,90.0
49,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,183.75,90.0
50,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,187.5,90.0
51,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,191.25,90.0
52,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,195.0,90.0
53,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,198.75,90.0
54,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,202.5,90.0
55,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,206.25,90.0
56,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,210.0,90.0
57,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,213.75,90.0
58,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,217.5,90.0
59,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,221.25,90.0
60,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,225.0,90.0
61,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,228.75,90.0
62,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,232.5,90.0
63,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,236.25,90.0
64,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,240.0,90.0
65,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,243.75,90.0
66,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,247.5,90.0
67,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,251.25,90.0
68,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,255.0,90.0
69,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,258.75,90.0
70,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,262.5,90.0
71,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,266.25,90.0
72,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,270.0,90.0
73,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,273.75,90.0
74,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,277.5,90.0
75,13.55,9.97,9.47,7.27,3.19,0.03,-0.12,0.51,10.16,18.16,20.3,17.22,281.25,90.0
