,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,0.0,90.0
1,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,3.75,90.0
2,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,7.5,90.0
3,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,11.25,90.0
4,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,15.0,90.0
5,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,18.75,90.0
6,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,22.5,90.0
7,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,26.25,90.0
8,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,30.0,90.0
9,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,33.75,90.0
10,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,37.5,90.0
11,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,41.25,90.0
12,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,45.0,90.0
13,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,48.75,90.0
14,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,52.5,90.0
15,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,56.25,90.0
16,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,60.0,90.0
17,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,63.75,90.0
18,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,67.5,90.0
19,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,71.25,90.0
20,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,75.0,90.0
21,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,78.75,90.0
22,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,82.5,90.0
23,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,86.25,90.0
24,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,90.0,90.0
25,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,93.75,90.0
26,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,97.5,90.0
27,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,101.25,90.0
28,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,105.0,90.0
29,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,108.75,90.0
30,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,112.5,90.0
31,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,116.25,90.0
32,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,120.0,90.0
33,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,123.75,90.0
34,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,127.5,90.0
35,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,131.25,90.0
36,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,135.0,90.0
37,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,138.75,90.0
38,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,142.5,90.0
39,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,146.25,90.0
40,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,150.0,90.0
41,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,153.75,90.0
42,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,157.5,90.0
43,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,161.25,90.0
44,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,165.0,90.0
45,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,168.75,90.0
46,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,172.5,90.0
47,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,176.25,90.0
48,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,180.0,90.0
49,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,183.75,90.0
50,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,187.5,90.0
51,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,191.25,90.0
52,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,195.0,90.0
53,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,198.75,90.0
54,13.6,9.93,9.5,7.26,3.02,0.03,-0.12,0.5,9.59,17.39,19.84,17.06,202.5,90.0
