,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Longitude,Latitude
0,3.26,3.57,3.17,3.03,2.58,2.33,2.03,1.88,2.48,3.01,3.2,3.25,0.0,88.75
1,3.26,3.55,3.17,3.03,2.58,2.33,2.03,1.88,2.48,3.01,3.21,3.25,3.75,88.75
2,3.25,3.56,3.16,3.03,2.58,2.32,2.03,1.88,2.48,3.01,3.21,3.24,7.5,88.75
3,3.25,3.54,3.15,3.03,2.59,2.33,2.02,1.88,2.48,3.03,3.21,3.24,11.25,88.75
4,3.24,3.53,3.15,3.03,2.59,2.33,2.02,1.87,2.48,3.04,3.23,3.24,15.0,88.75
5,3.24,3.53,3.15,3.03,2.59,2.31,2.01,1.87,2.48,3.04,3.21,3.23,18.75,88.75
6,3.23,3.53,3.15,3.03,2.59,2.31,2.01,1.86,2.49,3.05,3.21,3.22,22.5,88.75
7,3.23,3.53,3.15,3.03,2.59,2.31,2.01,1.85,2.49,3.05,3.2,3.22,26.25,88.75
8,3.23,3.51,3.13,3.02,2.59,2.31,2.01,1.85,2.49,3.04,3.2,3.2,30.0,88.75
9,3.2,3.51,3.12,3.01,2.59,2.31,2.01,1.85,2.49,3.04,3.2,3.19,33.75,88.75
10,3.2,3.5,3.12,3.01,2.58,2.32,2.0,1.86,2.49,3.03,3.19,3.19,37.5,88.75
11,3.2,3.5,3.11,3.01,2.58,2.31,2.0,1.86,2.5,3.03,3.19,3.19,41.25,88.75
12,3.19,3.48,3.11,3.01,2.58,2.3,2.0,1.85,2.5,3.03,3.18,3.18,45.0,88.75
13,3.18,3.48,3.1,3.0,2.58,2.3,2.0,1.85,2.5,3.03,3.18,3.18,48.75,88.75
14,3.18,3.47,3.1,3.0,2.58,2.3,2.0,1.85,2.5,3.02,3.17,3.18,52.5,88.75
15,3.17,3.47,3.1,2.99,2.58,2.3,2.0,1.85,2.5,3.02,3.16,3.16,56.25,88.75
16,3.15,3.45,3.1,2.99,2.59,2.29,1.99,1.84,2.5,3.02,3.16,3.14,60.0,88.75
17,3.15,3.45,3.1,2.98,2.57,2.3,2.0,1.84,2.5,3.01,3.15,3.14,63.75,88.75
18,3.13,3.44,3.08,2.99,2.57,2.3,2.0,1.84,2.49,3.0,3.15,3.14,67.5,88.75
19,3.13,3.43,3.07,2.97,2.57,2.3,2.0,1.84,2.49,3.0,3.14,3.13,71.25,88.75
20,3.12,3.42,3.08,2.96,2.58,2.3,1.99,1.84,2.48,3.0,3.12,3.14,75.0,88.75
21,3.12,3.42,3.07,2.95,2.58,2.3,1.99,1.84,2.48,3.0,3.13,3.12,78.75,88.75
22,3.11,3.42,3.06,2.95,2.58,2.3,1.99,1.84,2.48,3.0,3.12,3.11,82.5,88.75
23,3.11,3.41,3.06,2.95,2.57,2.3,1.99,1.84,2.47,2.99,3.12,3.1,86.25,88.75
24,3.1,3.4,3.06,2.95,2.57,2.3,1.99,1.85,2.46,2.98,3.11,3.1,90.0,88.75
25,3.1,3.4,3.05,2.95,2.57,2.3,1.98,1.85,2.46,2.97,3.11,3.1,93.75,88.75
26,3.09,3.38,3.05,2.95,2.56,2.3,1.98,1.85,2.46,2.97,3.1,3.1,97.5,88.75
27,3.09,3.38,3.05,2.95,2.56,2.3,1.98,1.86,2.46,2.97,3.1,3.1,101.25,88.75
28,3.09,3.37,3.05,2.94,2.56,2.3,1.98,1.86,2.46,2.97,3.08,3.1,105.0,88.75
29,3.08,3.38,3.05,2.94,2.56,2.3,1.98,1.86,2.46,2.96,3.08,3.1,108.75,88.75
30,3.09,3.39,3.04,2.94,2.55,2.3,1.98,1.86,2.46,2.96,3.08,3.09,112.5,88.75
31,3.09,3.4,3.04,2.94,2.56,2.31,1.98,1.86,2.45,2.95,3.08,3.08,116.25,88.75
32,3.09,3.39,3.04,2.93,2.56,2.3,1.98,1.87,2.45,2.93,3.08,3.08,120.0,88.75
33,3.08,3.39,3.03,2.92,2.56,2.3,1.98,1.87,2.44,2.93,3.08,3.07,123.75,88.75
34,3.09,3.39,3.03,2.92,2.56,2.3,1.98,1.87,2.43,2.94,3.07,3.07,127.5,88.75
35,3.08,3.38,3.04,2.92,2.56,2.31,1.99,1.87,2.43,2.93,3.05,3.06,131.25,88.75
36,3.09,3.39,3.03,2.92,2.55,2.32,1.99,1.87,2.43,2.92,3.05,3.06,135.0,88.75
37,3.09,3.39,3.04,2.92,2.55,2.32,2.0,1.87,2.43,2.91,3.05,3.05,138.75,88.75
38,3.09,3.39,3.04,2.92,2.55,2.32,2.0,1.88,2.42,2.9,3.05,3.06,142.5,88.75
39,3.09,3.39,3.03,2.93,2.56,2.32,2.0,1.89,2.42,2.9,3.05,3.06,146.25,88.75
40,3.09,3.4,3.03,2.93,2.55,2.32,2.0,1.89,2.41,2.9,3.05,3.06,150.0,88.75
41,3.08,3.4,3.04,2.93,2.55,2.32,2.0,1.89,2.41,2.9,3.05,3.07,153.75,88.75
42,3.09,3.4,3.04,2.92,2.55,2.32,2.0,1.9,2.41,2.9,3.05,3.07,157.5,88.75
43,3.1,3.4,3.04,2.93,2.56,2.32,2.01,1.9,2.4,2.9,3.04,3.07,161.25,88.75
44,3.1,3.4,3.05,2.92,2.57,2.32,2.01,1.9,2.41,2.89,3.05,3.07,165.0,88.75
45,3.11,3.42,3.06,2.93,2.56,2.33,2.0,1.9,2.41,2.89,3.05,3.08,168.75,88.75
46,3.12,3.43,3.06,2.94,2.56,2.33,2.01,1.91,2.4,2.89,3.06,3.08,172.5,88.75
